Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name 
2019-12-13 00:00:00+07:00,5735.4572,5757.878846,5695.098236,5704.066895,70822500,0,0,BBCA
2019-12-16 00:00:00+07:00,5686.129577,5735.4572,5686.129577,5704.066895,78684000,0,0,BBCA
2019-12-17 00:00:00+07:00,5735.457497,5829.628418,5708.55152,5829.628418,102914500,0,0,BBCA
2019-12-18 00:00:00+07:00,5829.628299,6098.688067,5775.816346,6058.329102,181804000,0,0,BBCA
2019-12-19 00:00:00+07:00,6009.001036,6026.938352,5910.345795,5919.314453,74171000,0,0,BBCA
2019-12-20 00:00:00+07:00,5991.063292,6044.875238,5928.282688,5973.125977,99453000,0,0,BBCA
2019-12-23 00:00:00+07:00,5991.063292,6035.90658,5964.157319,5973.125977,46558500,0,0,BBCA
2019-12-26 00:00:00+07:00,5973.126648,6031.422929,5973.126648,5991.063965,38188500,0,0,BBCA
2019-12-27 00:00:00+07:00,5982.095443,6009.001419,5982.095443,6004.51709,29945000,0,0,BBCA
2019-12-30 00:00:00+07:00,5991.063035,6026.937664,5982.094377,5995.547363,61168000,0,0,BBCA
2020-01-02 00:00:00+07:00,6004.517044,6080.750644,5991.064056,6000.032715,49445000,0,0,BBCA
2020-01-03 00:00:00+07:00,6053.84324,6098.686523,6031.421599,6098.686523,47755500,0,0,BBCA
2020-01-06 00:00:00+07:00,6026.938614,6053.84459,6000.032638,6040.391602,27300000,0,0,BBCA
2020-01-07 00:00:00+07:00,6040.391159,6071.781462,6035.90683,6044.875488,45022500,0,0,BBCA
2020-01-08 00:00:00+07:00,5982.095306,6049.360246,5982.095306,5991.063965,53692500,0,0,BBCA
2020-01-09 00:00:00+07:00,6044.875488,6058.328475,6035.90683,6044.875488,40363500,0,0,BBCA
2020-01-10 00:00:00+07:00,6067.297486,6121.109437,6017.969864,6031.422852,73362000,0,0,BBCA
2020-01-13 00:00:00+07:00,6044.875534,6062.81285,6040.391205,6049.359863,67855000,0,0,BBCA
2020-01-14 00:00:00+07:00,6049.360033,6174.921249,6044.875704,6161.468262,93582000,0,0,BBCA
2020-01-15 00:00:00+07:00,6161.467939,6331.872438,6098.687334,6130.077637,75623500,0,0,BBCA
2020-01-16 00:00:00+07:00,6103.171801,6179.405394,6094.203142,6143.530762,88931500,0,0,BBCA
2020-01-17 00:00:00+07:00,6134.561847,6179.405135,6098.687216,6165.952148,38249500,0,0,BBCA
2020-01-20 00:00:00+07:00,6233.217202,6255.638847,6125.593308,6130.077637,93554500,0,0,BBCA
2020-01-21 00:00:00+07:00,6174.920387,6183.889044,6121.108445,6125.592773,103984500,0,0,BBCA
2020-01-22 00:00:00+07:00,6148.014999,6183.88963,6130.077683,6134.562012,94311500,0,0,BBCA
2020-01-23 00:00:00+07:00,6174.920972,6183.88963,6125.593354,6134.562012,87728000,0,0,BBCA
2020-01-24 00:00:00+07:00,6116.624419,6170.436364,6107.655762,6107.655762,69653500,0,0,BBCA
2020-01-27 00:00:00+07:00,6156.983656,6224.248591,6112.140367,6134.562012,39679000,0,0,BBCA
2020-01-28 00:00:00+07:00,6130.077711,6139.046369,6058.328447,6089.71875,82615000,0,0,BBCA
2020-01-29 00:00:00+07:00,6098.687362,6139.046322,6071.781388,6085.234375,43821000,0,0,BBCA
2020-01-30 00:00:00+07:00,6139.046397,6139.046397,6035.90683,6044.875488,71990000,0,0,BBCA
2020-01-31 00:00:00+07:00,6098.687488,6103.171817,5811.69043,5811.69043,163136500,0,0,BBCA
2020-02-03 00:00:00+07:00,5811.690551,5905.861463,5713.03531,5775.815918,149797000,0,0,BBCA
2020-02-04 00:00:00+07:00,5892.408478,5937.25177,5847.565187,5919.314453,113316500,0,0,BBCA
2020-02-05 00:00:00+07:00,6080.751011,6080.751011,5964.15844,6035.907715,123002500,0,0,BBCA
2020-02-06 00:00:00+07:00,6044.875488,6080.75012,5991.06354,6044.875488,154693500,0,0,BBCA
2020-02-07 00:00:00+07:00,6017.968728,6080.749325,6013.484399,6062.812012,82609000,0,0,BBCA
2020-02-10 00:00:00+07:00,6062.81273,6085.234375,5946.220178,6085.234375,66578500,0,0,BBCA
2020-02-11 00:00:00+07:00,6085.234818,6085.234818,6049.360183,6080.750488,77526500,0,0,BBCA
2020-02-12 00:00:00+07:00,6098.686523,6098.686523,6062.811897,6098.686523,69971500,0,0,BBCA
2020-02-13 00:00:00+07:00,6116.624724,6116.624724,6044.87546,6089.71875,49737000,0,0,BBCA
2020-02-14 00:00:00+07:00,6080.750551,6094.203539,5986.579636,5991.063965,147028500,0,0,BBCA
2020-02-17 00:00:00+07:00,5991.063357,6053.843961,5991.063357,6026.937988,115319000,0,0,BBCA
2020-02-18 00:00:00+07:00,5995.548431,6026.938737,5982.095443,6004.51709,98436500,0,0,BBCA
2020-02-19 00:00:00+07:00,5977.611113,6062.813372,5977.611113,6004.51709,74594000,0,0,BBCA
2020-02-20 00:00:00+07:00,6000.032331,6004.51666,5887.924104,5914.830078,136724500,0,0,BBCA
2020-02-21 00:00:00+07:00,5919.315078,5973.127033,5914.830748,5932.768066,98261000,0,0,BBCA
2020-02-24 00:00:00+07:00,5887.92444,5919.314745,5838.596817,5852.049805,84910000,0,0,BBCA
2020-02-25 00:00:00+07:00,5874.471007,5883.439665,5838.596375,5856.533691,86446500,0,0,BBCA
2020-02-26 00:00:00+07:00,5829.627682,5861.017985,5757.878418,5757.878418,92824500,0,0,BBCA
2020-02-27 00:00:00+07:00,5802.721482,5807.205811,5560.567726,5641.285645,129254500,0,0,BBCA
2020-02-28 00:00:00+07:00,5560.567726,5641.285645,5412.584875,5641.285645,169946500,0,0,BBCA
2020-03-02 00:00:00+07:00,5641.286668,5641.286668,5412.585858,5452.944824,144871500,0,0,BBCA
2020-03-03 00:00:00+07:00,5560.567998,5695.097869,5560.567998,5668.191895,114663500,0,0,BBCA
2020-03-04 00:00:00+07:00,5663.70769,5829.627868,5614.380069,5775.815918,83025000,0,0,BBCA
2020-03-05 00:00:00+07:00,5865.502454,5865.502454,5686.12929,5771.331543,77583000,0,0,BBCA
2020-03-06 00:00:00+07:00,5695.098239,5695.098239,5560.568359,5560.568359,77835500,0,0,BBCA
2020-03-09 00:00:00+07:00,5381.195306,5417.069941,5188.369141,5188.369141,140889500,0,0,BBCA
